id,title,source,last_modified,corpus_path,source_path,corpus,source_family,document_type,audience,archived,bytes,video_source
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008ns-jan,"T4008-NS Payroll Deductions Supplementary Tables - Nova Scotia - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008ns-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008ns-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008ns-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3972,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008ns-jan-t4008ns-january-general-information,Payroll Deductions Supplementary Tables - Nova Scotia,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008ns-jan/t4008ns-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008ns-jan/t4008ns-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008ns-jan/t4008ns-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,9178,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008nt-jan,"T4008-NT Payroll Deductions Supplementary Tables - Northwest Territories - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nt-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nt-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nt-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,4014,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008nt-jan-t4008nt-january-general-information,Payroll Deductions Supplementary Tables - Northwest Territories,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nt-jan/t4008nt-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nt-jan/t4008nt-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nt-jan/t4008nt-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,8801,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008nu-jan,"T4008-NU Payroll Deductions Supplementary Tables - Nunavut - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nu-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nu-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nu-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3960,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008nu-jan-t4008nu-january-general-information,Payroll Deductions Supplementary Tables - Nunavut,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nu-jan/t4008nu-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nu-jan/t4008nu-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008nu-jan/t4008nu-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,8746,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008oc-jan,"T4008-OC Payroll Deductions Supplementary Tables - In Canada Beyond the Limits of Any Province/Territory or Outside Canada - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008oc-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008oc-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008oc-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,4044,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008oc-jan-t4008oc-january-general-information,Payroll Deductions Supplementary Tables - In Canada Beyond the Limits of Any Province/Territory or Outside Canada,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008oc-jan/t4008oc-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008oc-jan/t4008oc-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008oc-jan/t4008oc-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,7875,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008on-jan,"T4008-ON Payroll Deductions Supplementary Tables - Ontario - Effective January 1, 2026",https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008on-jan.html,2025-12-24,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008on-jan.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008on-jan.md,cra/forms-publications,cra_forms_publications,publication,,False,3956,
corpus-cra-forms-publications-payroll-t4008-payroll-deductions-supplementary-tables-t4008on-jan-t4008on-january-general-information,Payroll Deductions Supplementary Tables - Ontario,https://www.canada.ca/en/revenue-agency/services/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008on-jan/t4008on-january-general-information.html,2025-12-18,corpus/cra/forms-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008on-jan/t4008on-january-general-information.md,docs/cra/forms-publications/rag-publications/payroll/t4008-payroll-deductions-supplementary-tables/t4008on-jan/t4008on-january-general-information.md,cra/forms-publications,cra_forms_publications,publication,,False,8840,
