Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-21.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-21.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 22

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |
| 212(1)(u) | 33 | 32 |

| 212(1)(v) | 33 | 32 |

| 212(2) | 33 | 32 |

| 212(3) | 33 | 32 |

| 212(4) | 33 | 32 |

| 212(5) | 33 | 32 |

| 212(6) | 33 | 32 |

| 212(7) | 33 | 32 |

| 212(8) | 33 | 32 |

| 212(9) | 33 | 32 |

| 212(10) | 33 | 32 |

| 212(11) | 33 | 32 |

| 212(12) | 33 | 32 |

| 212(13) | 33 | 32 |

| 212(13.1) | 33 | 32 |

| 212(13.2) | 33 | 32 |

| 212(14) | 33 | 32 |

| 212(15) | 33 | 32 |

| 212(16) | 33 | 32 |

| 212(17) | 33 | 32 |

| 212(18) | 33 | 32 |

| 212(19) | 33 | 32 |

| 212.1(1) | 33 | 32 |

| 212.1(2) | 33 | 32 |

| 212.1(3) | 33 | 32 |

| 212.1(4) | 33 | 32 |

| 212.2(1) | 33 | 32 |

| 212.2(2) | 33 | 32 |

| 213(1) | 33 | 32 |

| 213(2) | 33 | 32 |

| 213(3) | 33 | 32 |

| 214(1) | 33 | 32 |

| 214(2) | 33 | 32 |

| 214(3) | 33 | 32 |

| 214(3.1) | 33 | 32 |

| 214(4) | 33 | 32 |

| 214(5) | 33 | 32 |

| 214(6) | 33 | 32 |

| 214(7) | 33 | 32 |

| 214(7.1) | 33 | 32 |

| 214(8) | 33 | 32 |

| 214(9) | 33 | 32 |

| 214(10) | 33 | 32 |

| 214(11) | 33 | 32 |

| 214(12) | 33 | 32 |

| 214(13) | 33 | 32 |

| 214(14) | 33 | 32 |

| 214(15) | 33 | 32 |

| 215(1) | 33 | 32 |

| 215(1.1) | 33 | 32 |

| 215(2) | 33 | 32 |

| 215(3) | 33 | 32 |

| 215(4) | 33 | 32 |

| 215(5) | 33 | 32 |

| 215(6) | 33 | 32 |

| 216(1) | 33 | 32 |

| 216(2) | 33 | 32 |

| 216(3) | 33 | 32 |

| 216(4) | 33 | 32 |

| 216(5) | 33 | 32 |

| 216(6) | 33 | 32 |

| 216(7) | 33 | 32 |

| 216(8) | 33 | 32 |

| 217(1) | 33 | 32 |

| 217(2) | 33 | 32 |

| 217(3) | 33 | 32 |

| 217(4) | 33 | 32 |

| 217(5) | 33 | 32 |

| 217(6) | 33 | 32 |

| 218(1) | 33 | 32 |

| 218(2) | 33 | 32 |

| 218(3) | 33 | 32 |

| 218(4) | 33 | 32 |

| 218.1 | 41 | 44 |

| 218.2(1) | 41 | 44 |

| 218.2(2) | 41 | 44 |

| 218.2(3) | 41 | 44 |

| 218.2(4) | 41 | 44 |

| 218.2(5) | 41 | 44 |

| 219(1) | 33 | 32 |

| 219(1.1) | 33 | 32 |

| 219(2) | 33 | 32 |

| 219(3) | 33 | 32 |

| 219(4) | 41 | 44 |

| 219(5.1) | 41 | 44 |

| 219(5.2) | 41 | 44 |

| 219(5.3) | 41 | 44 |

| 219(7) | 41 | 44 |

| 219(8) | 33 | 32 |

| 219.1 | 33 | 32 |

| 219.2 | 33 | 32 |

| 219.3 | 33 | 32 |

[ [Income Tax  Technical News No. 29](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-technical-news-no-29.html) ] [ [Table of Contents](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-26.html) ] [ [Next](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-22.html) ]
