Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-21.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-21.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 22

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 210 | 35 | 32 |

| 210.1 | 35 | 32 |

| 210.2(1) | 35 | 32 |

| 210.2(1.1) | 35 | 32 |

| 210.2(2) | 35 | 32 |

| 210.2(3) | 35 | 32 |

| 210.2(4) | 35 | 32 |

| 210.2(5) | 35 | 32 |

| 210.2(6) | 35 | 32 |

| 210.2(7) | 35 | 32 |

| 210.3(1) | 35 | 32 |

| 210.3(2) | 35 | 32 |

| 211 | 41 | 44 |

| 211(1) | 41 | 44 |

| 211(2) | 41 | 44 |

| 211.1(1) | 41 | 44 |

| 211.1(2) | 41 | 44 |

| 211.1(3) | 41 | 44 |

| 211.1(4) | 41 | 44 |

| 211.2 | 41 | 44 |

| 211.3 | 41 | 44 |

| 211.3(2) | 41 | 44 |

| 211.4 | 41 | 44 |

| 211.5(1) | 41 | 44 |

| 211.5(2) | 41 | 44 |

| 211.6(1) | 13 | 14 |

| 211.6(2) | 13 | 14 |

| 211.6(3) | 13 | 14 |

| 211.6(4) | 13 | 14 |

| 211.6(5) | 13 | 14 |

| 211.7 | 42 | 44 |

| 211.8(1) | 42 | 44 |

| 211.8(1.1) | 42 | 44 |

| 211.8(2) | 42 | 44 |

| 211.8(3) | 42 | 44 |

| 211.9 | 42 | 44 |

| 211.91 | 13 | 14 |

| 211.91(2) | 13 | 14 |

| 211.91(3) | 13 | 14 |

| 212(1) | 33 | 32 |

| 212(1)(a) | 33 | 32 |

| 212(1)(b) | 33 | 32 |

| 212(1)(b) (VII) | 42 | 44 |

| 212(1)© | 33 | 32 |

| 212(1)(d) | 33 | 32 |

| 212(1)(e) | 13 | 14 |

| 212(1)(f) | 33 | 32 |

| 212(1)(g) | 33 | 32 |

| 212(1)(h) | 33 | 32 |

| 212(1)(j) | 33 | 32 |

| 212(1)(j.1) | 33 | 32 |

| 212(1)(k) | 33 | 32 |

| 212(1)(l) | 33 | 32 |

| 212(1)(m) | 33 | 32 |

| 212(1)(n) | 33 | 32 |

| 212(1)(o) | 33 | 32 |

| 212(1)(p) | 33 | 32 |

| 212(1)(q) | 33 | 32 |

| 212(1)® | 33 | 32 |

| 212(1)(s) | 33 | 32 |

| 212(1)(t) | 33 | 32 |

