Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-3.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-3.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 4

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 30 | 25 | 22 |

| 31(1) | 25 | 22 |

| 31(1.1) | 25 | 22 |

| 31(2) | 25 | 22 |

| 32(1) | 41 | 44 |

| 32(2) | 41 | 44 |

| 32(3) | 41 | 44 |

| 32.1(1) | 43 | 44 |

| 32.1(2) | 43 | 44 |

| 32.1(3) | 43 | 44 |

| 33.1(1) | 41 | 44 |

| 33.1(2) | 41 | 44 |

| 33.1(3) | 41 | 44 |

| 33.1(4) | 41 | 44 |

| 33.1(5) | 41 | 44 |

| 33.1(6) | 41 | 44 |

| 33.1(7) | 41 | 44 |

| 33.1(8) | 41 | 44 |

| 33.1(9) | 41 | 44 |

| 33.1(10) | 41 | 44 |

| 33.1(11) | 41 | 44 |

| 33.1(12) | 41 | 44 |

| 34 | 23 | 22 |

| 34.1(1) | 23 | 22 |

| 34.1(2) | 23 | 22 |

| 34.1(3) | 23 | 22 |

| 34.1(4) | 23 | 22 |

| 34.1(5) | 23 | 22 |

| 34.1(6) | 23 | 22 |

| 34.1(7) | 23 | 22 |

| 34.1(8) | 23 | 22 |

| 34.1(9) | 23 | 22 |

| 34.2(1) | 23 | 22 |

| 34.2(2) | 23 | 22 |

| 34.2(3) | 23 | 22 |

| 34.2(4) | 23 | 22 |

| 34.2(5) | 23 | 22 |

| 34.2(6) | 23 | 22 |

| 34.2(7) | 23 | 22 |

| 34.2(8) | 23 | 22 |

| 35(1) | 13 | 14 |

| 35(2) | 13 | 14 |

| 36 | 13 | 14 |

| 37(1) | 23 | 22 |

| 37(1.1) | 23 | 22 |

| 37(1.2) | 23 | 22 |

| 37(2) | 23 | 22 |

| 37(3) | 23 | 22 |

| 37(4) | 23 | 22 |

| 37(5) | 23 | 22 |

| 37(6) | 23 | 22 |

| 37(6.1) | 32 | 22 |

| 37(7) | 23 | 22 |

| 37(8) | 23 | 22 |

| 37(9) | 23 | 22 |

| 37(9.1) | 23 | 22 |

| 37(9.2) | 23 | 22 |

| 37(9.3) | 23 | 22 |

| 37(9.4) | 23 | 22 |

| 37(9.5) | 23 | 22 |

| 37(10) | 23 | 22 |

| 37(11) | 23 | 22 |

| 37(12) | 23 | 22 |

| 37(13) | 23 | 22 |

| 37.1(1) | 23 | 22 |

| 37.1(2) | 23 | 22 |

| 37.1(3) | 23 | 22 |

| 37.1(4) | 23 | 22 |

| 37.1(5) | 23 | 22 |

| 37.1(6) | 23 | 22 |

| 37.1(7) | 23 | 22 |

| 37.2(1) | 23 | 22 |

| 37.2(2) | 23 | 22 |

| 37.3 | 23 | 22 |

| 38 | 24 | 22 |

| 38(a.1)38(a.2) | 41 | 44 |

| 39(1) | 24 | 22 |

| 39(2) | 31 | 32 |

| 39(3) | 42 | 44 |

| 39(4) | 42 | 44 |

| 39(4.1) | 23 | 22 |

| 39(5) | 42 | 44 |

| 39(6) | 42 | 44 |

| 39(7) | 23 | 22 |

| 39(8) | 23 | 22 |

| 39(9) | 24 | 22 |

| 39(10) | 35 | 32 |

| 39(11) | 24 | 22 |

| 39(12) | 24 | 22 |

| 39(13) | 24 | 22 |

| 39.1 | 24 | 22 |

| 39.1(1) | 24 | 22 |

| 39.1(2) | 24 | 22 |

| 39.1(3) | 24 | 22 |

| 39.1(4) | 23 | 22 |

| 39.1(5) | 23 | 22 |

| 39.1(6) | 24 | 22 |

| 39.1(7) | 24 | 22 |

[ [Income Tax  Technical News No. 29](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-technical-news-no-29.html) ] [ [Table of Contents](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-26.html) ] [ [Next](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-4.html) ]
