Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-12.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-12.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 13

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |
| 122.62(1) | 24 | 22 |

| 122.62(2) | 24 | 22 |

| 122.62(3) | 24 | 22 |

| 122.62(4) | 24 | 22 |

| 122.62(5) | 24 | 22 |

| 122.62(6) | 24 | 22 |

| 122.62(7) | 24 | 22 |

| 122.62(9) | 24 | 22 |

| 122.63(1) | 24 | 22 |

| 122.63(2) | 24 | 22 |

| 122.63(3) | 24 | 22 |

| 122.64(1) | 24 | 22 |

| 122.64(2) | 24 | 22 |

| 122.64(3) | 24 | 22 |

| 122.64(4) | 24 | 22 |

| 123 | 23 | 22 |

| 123.1 | 23 | 22 |

| 123.2 | 23 | 22 |

| 123.3 | 23 | 22 |

| 123.4(1) | 23 | 22 |

| 123.4(2) | 23 | 22 |

| 123.4(3) | 23 | 22 |

| 124(1) | 23 | 22 |

| 124(3) | 23 | 22 |

| 124(4) | 23 | 32 |

| 125(1) | 24 | 22 |

| 125(2) | 24 | 22 |

| 125(3) | 24 | 22 |

| 125(4) | 24 | 22 |

| 125(5) | 24 | 22 |

| 125(5.1) | 24 | 22 |

| 125(6) | 23 | 22 |

| 125(6.1) | 23 | 22 |

| 125(6.2) | 23 | 22 |

| 125(6.3) | 23 | 22 |

| 125(7) | 24 | 22 |

| 125.1(1) | 23 | 22 |

| 125.1(2) | 23 | 22 |

| 125.1(3) | 23 | 22 |

| 125.1(4) | 23 | 22 |

| 125.1(5) | 23 | 22 |

| 125.2(1) | 41 | 44 |

| 125.2(2) | 41 | 44 |

| 125.2(3) | 41 | 44 |

| 125.3 | 41 | 44 |

| 125.3(1.1) | 41 | 44 |

| 125.3(2) | 41 | 44 |

| 125.3(3) | 41 | 44 |

| 125.3(4) | 41 | 44 |

| 125.4 | 24 | 22 |

| 125.4(1) | 24 | 22 |

| 125.4(2) | 24 | 22 |

| 125.4(3) | 24 | 22 |

| 125.4(4) | 24 | 22 |

| 125.4(5) | 24 | 22 |

| 125.4(6) | 24 | 22 |

| 125.5(1) | 24 | 22 |

| 125.5(2) | 24 | 22 |

| 125.5(3) | 24 | 22 |

| 125.5(4) | 24 | 22 |

| 125.5(5) | 24 | 22 |

| 125.5(6) | 24 | 22 |

| 126(1) | 33 | 32 |

| 126(2) | 33 | 32 |

| 126(2.1) | 33 | 32 |

| 126(2.2) | 33 | 32 |

| 126(2.21) | 33 | 32 |

| 126(2.22) | 33 | 32 |

| 126(2.23) | 33 | 32 |

| 126(2.3) | 33 | 32 |

| 126(3) | 33 | 32 |

| 126(4) | 33 | 32 |

| 126(4.1) | 33 | 32 |

| 126(4.2) | 33 | 32 |

| 126(4.3) | 33 | 32 |

| 126(4.4) | 33 | 32 |

| 126(5) | 33 | 32 |

| 126(5.1) | 33 | 32 |

| 126(6) | 33 | 32 |

| 126(7) | 33 | 32 |

| 126(8) | 33 | 32 |

| 126(9) | 33 | 32 |

| 126.1 | 25 | 22 |

| 126.1(1) | 25 | 22 |

| 126.1(2) | 25 | 22 |

| 126.1(3) | 25 | 22 |

| 126.1(4) | 25 | 22 |

| 126.1(5) | 25 | 22 |

| 126.1(6) | 25 | 22 |

| 126.1(7) | 25 | 22 |

| 126.1(8) | 25 | 22 |

| 126.1(9) | 25 | 22 |

| 126.1(10) | 25 | 22 |

| 126.1(11) | 25 | 22 |

| 126.1(12) | 25 | 22 |

| 126.1(13) | 25 | 22 |

| 126.1(14) | 25 | 22 |

| 126.1(15) | 25 | 22 |

| 127(1) | 13 | 14 |

| 127(2) | 13 | 14 |

| 127(3) | 45 | 44 |

| 127(3.1) | 45 | 44 |

| 127(3.2) | 45 | 44 |

| 127(4) | 45 | 44 |

| 127(4.1) | 45 | 44 |

| 127(4.2) | 45 | 44 |

| 127(5) | 23 | 22 |

| 127(6) | 41 | 44 |

| 127(7) | 35 | 32 |

| 127(8) | 23 | 22 |

| 127(8.1) | 23 | 22 |

| 127(8.2) | 23 | 22 |

| 127(8.3) | 23 | 22 |

| 127(8.4) | 23 | 22 |

| 127(8.5) | 23 | 22 |

| 127(9) | 23 | 22 |

| 127(9.1) | 23 | 22 |

| 127(9.2) | 23 | 22 |

| 127(10) | 23 | 22 |

| 127(10.1) | 23 | 22 |

| 127(10.2) | 23 | 22 |

| 127(10.3) | 23 | 22 |

| 127(10.4) | 23 | 22 |

| 127(10.6) | 23 | 22 |

| 127(10.7) | 23 | 22 |

| 127(10.8) | 23 | 22 |

| 127(11) | 23 | 22 |

| 127(11.1) | 23 | 22 |

| 127(11.2) | 23 | 22 |

| 127(11.3) | 23 | 22 |

| 127(11.4) | 23 | 22 |

| 127(11.5) | 23 | 22 |

| 127(11.6) | 23 | 22 |

| 127(11.7) | 23 | 22 |

| 127(11.8) | 23 | 22 |

| 127(12) | 23 | 22 |

| 127(12.1) | 23 | 22 |

| 127(12.2) | 23 | 22 |

| 127(12.3) | 23 | 22 |

| 127(13) | 23 | 22 |

| 127(14) | 23 | 22 |

| 127(15) | 23 | 22 |

| 127(16) | 23 | 22 |

| 127(17) | 23 | 22 |

| 127(18) | 23 | 22 |

| 127(19) | 23 | 22 |

| 127(20) | 23 | 22 |

| 127(21) | 23 | 22 |

| 127(22) | 23 | 22 |

| 127(23) | 23 | 22 |

| 127(24) | 23 | 22 |

| 127(25) | 23 | 22 |

| 127(26) | 23 | 22 |

| 127(27) | 23 | 22 |

| 127(28) | 23 | 22 |

| 127(29) | 23 | 22 |

| 127(30) | 23 | 22 |

| 127(31) | 23 | 22 |

| 127(32) | 23 | 22 |

| 127(33) | 23 | 22 |

| 127(34) | 23 | 22 |

| 127.1(1) | 23 | 22 |

| 127.1(2) | 23 | 22 |

| 127.1(2.01) | 23 | 22 |

| 127.1(2.1) | 23 | 22 |

| 127.1(3) | 23 | 22 |

| 127.2(1) | 23 | 22 |

| 127.2(2) | 23 | 22 |

| 127.2(3) | 23 | 22 |

| 127.2(3.1) | 35 | 32 |

| 127.2(4) | 23 | 22 |

| 127.2(5) | 41 | 44 |

| 127.2(6) | 23 | 22 |

| 127.2(7) | 23 | 22 |

| 127.2(8) | 23 | 22 |

| 127.2(9) | 23 | 22 |

| 127.2(10) | 23 | 22 |

| 127.2(11) | 23 | 22 |

| 127.3(1) | 23 | 22 |

| 127.3(2) | 23 | 22 |

| 127.3(3) | 35 | 32 |

| 127.3(3.1) | 35 | 32 |

| 127.3(4) | 23 | 22 |

| 127.3(5) | 41 | 44 |

| 127.3(6) | 23 | 22 |

| 127.3(7) | 23 | 22 |

| 127.3(8) | 23 | 22 |

| 127.3(9) | 23 | 22 |

| 127.3(10) | 23 | 22 |

| 127.4 | 23 | 22 |

| 127.4(1) | 23 | 22 |

| 127.4(1.1) | 23 | 22 |

| 127.4(2) | 23 | 22 |

| 127.4(3) | 23 | 22 |

| 127.4(4) | 23 | 22 |

| 127.4(5) | 23 | 22 |

| 127.4(5.1) | 23 | 22 |

| 127.4(6) | 23 | 22 |

| 127.41(1) | 23 | 22 |

| 127.41(2) | 23 | 22 |

| 127.41(3) | 23 | 22 |

| 127.5 | 23 | 22 |

| 127.51 | 23 | 22 |

| 127.52(1) | 23 | 22 |

| 127.52(2) | 23 | 22 |

| 127.52(2.1) | 23 | 22 |

| 127.52(3) | 24 | 22 |

| 127.53(1) | 23 | 22 |

| 127.53(2) | 35 | 32 |

| 127.53(3) | 23 | 22 |

| 127.531 | 23 | 22 |

| 127.54 31 | 33 | 32 |

| 127.54(1) 31 | 33 | 32 |

| 127.54(2) 31 | 33 | 32 |

| 127.55 | 23 | 22 |

| 128(1) | 12 | 14 |

| 128(2) | 24 | 22 |

| 128.1(1) | 31 | 32 |

| 128.1(1)(a) | 31 | 32 |

| 128.1(1)(b) | 31 | 32 |

| 128.1(1)© | 31 | 32 |

| 128.1(1)(c.1) | 31 | 32 |

| 128.1(1)(c.2) | 31 | 32 |

| 128.1(1)(d) | 31 | 32 |

| 128.1(2) | 31 | 32 |

| 128.1(3) | 31 | 32 |

| 128.1(4) | 31 | 32 |

| 128.1(4)(a) | 31 | 32 |

| 128.1(4)(a.1) | 31 | 32 |

| 128.1(4)(b) | 31 | 32 |

| 128.1(4)(c) | 31 | 32 |

| 128.1(4)(d) | 31 | 32 |

| 128.1(4)(d.1) | 31 | 32 |

| 128.1(4)(e) | 31 | 32 |

| 128.1(4)(f) | 31 | 32 |

| 128.1(5) | 31 | 32 |

| 128.1(6) | 31 | 32 |

| 128.1(7) | 31 | 32 |

| 128.1(8) | 31 | 32 |

| 128.1(9) | 31 | 32 |

| 128.1(10) | 31 | 32 |

| 128.2(1) | 31 | 32 |

| 128.2(2) | 31 | 32 |

| 128.2(3) | 31 | 32 |

| 128.3 | 31 | 32 |

| 129(1) | 15 | 14 |

| 129(1.1) | 15 | 14 |

| 129(1.2) | 15 | 14 |

| 129(2) | 15 | 14 |

| 129(2.1) | 15 | 14 |

| 129(2.2) | 15 | 14 |

| 129(3) | 15 | 14 |

| 129(3.1) | 15 | 14 |

| 129(3.2) | 15 | 14 |

| 129(3.3) | 15 | 14 |

| 129(3.4) | 15 | 14 |

| 129(3.5) | 15 | 14 |

| 129(4) | 15 | 14 |

| 129(4.1) | 15 | 14 |

| 129(4.2) | 15 | 14 |

| 129(4.3) | 15 | 14 |

| 129(5) | 15 | 14 |

| 129(6) | 24 | 22 |

| 129(7) | 15 | 14 |

| 129(8) | 15 | 14 |

[ [Income Tax  Technical News No. 29](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-technical-news-no-29.html) ] [ [Table of Contents](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-26.html) ] [ [Next](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-13.html) ]
