Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-12.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-12.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 13

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 120(1) | 31 | 32 |

| 120(2) | 31 | 32 |

| 120(2.1) | 31 | 32 |

| 120(2.2) | 31 | 32 |

| 120(3) | 31 | 32 |

| 120(4) | 31 | 32 |

| 120.1(1) | 24 | 22 |

| 120.1(2) | 24 | 22 |

| 120.1(3) | 24 | 22 |

| 120.1(4) | 24 | 22 |

| 120.1(5) | 24 | 22 |

| 120.1(6) | 24 | 22 |

| 120.1(7) | 24 | 22 |

| 120.1(8) | 24 | 22 |

| 120.2(1) | 23 | 22 |

| 120.2(3) | 23 | 22 |

| 120.2(4) | 23 | 22 |

| 120.3 | 25 | 22 |

| 120.31(1) | 25 | 22 |

| 120.31(2) | 25 | 22 |

| 120.31(3) | 25 | 22 |

| 120.4 (1) | 23 | 22 |

| 120.4(2) | 23 | 22 |

| 120.4(3) | 23 | 22 |

| 121 | 23 | 22 |

| 122(1) | 35 | 32 |

| 122(1.1) | 35 | 32 |

| 122(2) | 35 | 32 |

| 122(3) | 35 | 32 |

| 122.1 | 35 | 32 |

| 122.2 | 35 | 32 |

| 122.3(1) | 31 | 32 |

| 122.3(1.1) | 31 | 32 |

| 122.3(2) | 31 | 32 |

| 122.5 | 25 | 22 |

| 122.5(1) | 25 | 22 |

| 122.5(2) | 25 | 22 |

| 122.5(3) | 25 | 22 |

| 122.5(3.1) | 25 | 22 |

| 122.5(3.1) | 25 | 22 |

| 122.5(3.2) | 25 | 22 |

| 122.5(4) | 25 | 22 |

| 122.5(5) | 25 | 22 |

| 122.5(5) | 25 | 22 |

| 122.5(6) | 25 | 22 |

| 122.5(6) | 25 | 22 |

| 122.5(6.1) | 25 | 22 |

| 122.5(6.2) | 25 | 22 |

| 122.5(7) | 25 | 22 |

| 122.51 | 25 | 22 |

| 122.51(2) | 25 | 22 |

| 122.6 | 24 | 22 |

| 122.61(1) | 24 | 22 |

| 122.61(2) | 24 | 22 |

| 122.61(3) | 24 | 22 |

| 122.61(3.1) | 24 | 22 |

| 122.61(4) | 24 | 22 |

| 122.61(5) | 24 | 22 |

| 122.61(5.1) | 24 | 22 |

| 122.61(6) | 24 | 22 |

| 122.61(6.1) | 24 | 22 |

| 122.61(7) | 24 | 22 |

