Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-13.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-13.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 14

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 130(1) | 41 | 44 |

| 130(2) | 41 | 44 |

| 130(3) | 41 | 44 |

| 130(4) | 41 | 44 |

| 130.1(1) | 41 | 44 |

| 130.1(2) | 41 | 44 |

| 130.1(3) | 41 | 44 |

| 130.1(4) | 41 | 44 |

| 130.1(4.1) | 41 | 44 |

| 130.1(4.2) | 41 | 44 |

| 130.1(4.3) | 41 | 44 |

| 130.1(4.4) | 41 | 44 |

| 130.1(4.5) | 41 | 44 |

| 130.1(5) | 41 | 44 |

| 130.1(6) | 41 | 44 |

| 130.1(7) | 41 | 44 |

| 130.1(8) | 41 | 44 |

| 130.1(9) | 41 | 44 |

| 131(1) | 41 | 44 |

| 131(1.1) | 41 | 44 |

| 131(1.2) | 41 | 44 |

| 131(1.3) | 41 | 44 |

| 131(1.4) | 41 | 44 |

| 131(1.5) | 41 | 44 |

| 131(1.6) | 41 | 44 |

| 131(1.7) | 41 | 44 |

| 131(1.8) | 41 | 44 |

| 131(1.9) | 41 | 44 |

| 131(2) | 41 | 44 |

| 131(3) | 41 | 44 |

| 131(3.1) | 41 | 44 |

| 131(3.2) | 41 | 44 |

| 131(4) | 41 | 44 |

| 131(5) | 41 | 44 |

| 131(6) | 41 | 44 |

| 131(7) | 41 | 44 |

| 131(8) | 41 | 44 |

| 131(8.1) | 41 | 44 |

| 131(9) | 41 | 44 |

| 131(10) | 41 | 44 |

| 131(11) | 41 | 44 |

| 132(1) | 35 | 32 |

| 132(2) | 35 | 32 |

| 132(2.1) | 35 | 32 |

| 132(2.2) | 35 | 32 |

| 132(3) | 35 | 32 |

| 132(4) | 35 | 32 |

| 132(5) | 35 | 32 |

| 132(6) | 35 | 32 |

| 132(6.1) | 35 | 32 |

| 132(6.2) | 35 | 32 |

| 132(7) | 35 | 32 |

| 132.1(1) | 35 | 32 |

| 132.1(2) | 35 | 32 |

| 132.1(3) | 35 | 32 |

| 132.1(4) | 35 | 32 |

| 132.1(5) | 35 | 32 |

| 132.11(1) | 35 | 32 |

| 132.11(2) | 35 | 32 |

| 132.11(3) | 35 | 32 |

| 132.11(4) | 35 | 32 |

| 132.11(5) | 35 | 32 |

| 132.11(6) | 35 | 32 |

