Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-13.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-13.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 14

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |
| 132.11(7) | 35 | 32 |

| 132.11(8) | 35 | 32 |

| 132.2(1) | 35 | 32 |

| 132.2(2) | 35 | 32 |

| 133(1) | 31 | 32 |

| 133(2) | 31 | 32 |

| 133(3) | 31 | 32 |

| 133(4) | 31 | 32 |

| 133(6) | 31 | 32 |

| 133(7) | 31 | 32 |

| 133(7.01) | 31 | 32 |

| 133(7.02) | 31 | 32 |

| 133(7.1) | 31 | 32 |

| 133(7.2) | 31 | 32 |

| 133(7.3) | 31 | 32 |

| 133(8) | 31 | 32 |

| 133(9) | 31 | 32 |

| 134 | 31 | 32 |

| 135(1) | 41 | 44 |

| 135(2) | 41 | 44 |

| 135(2.1) | 41 | 44 |

| 135(3) | 41 | 44 |

| 135(4) | 41 | 44 |

| 135(5) | 41 | 44 |

| 135(6) | 41 | 44 |

| 135(7) | 41 | 44 |

| 135(8) | 41 | 44 |

| 136(1) | 41 | 44 |

| 136(2) | 41 | 44 |

| 137(1) | 41 | 44 |

| 137(2) | 41 | 44 |

| 137(3) | 41 | 44 |

| 137(4) | 41 | 44 |

| 137(4.1) | 41 | 44 |

| 137(4.2) | 41 | 44 |

| 137(4.3) | 41 | 44 |

| 137(5) | 41 | 44 |

| 137(5.1) | 41 | 44 |

| 137(5.2) | 41 | 44 |

| 137(6) | 41 | 44 |

| 137(7) | 41 | 44 |

| 137.1(1) | 41 | 44 |

| 137.1(2) | 41 | 44 |

| 137.1(3) | 41 | 44 |

| 137.1(4) | 41 | 44 |

| 137.1(5) | 41 | 44 |

| 137.1(5.1) | 41 | 44 |

| 137.1(6) | 41 | 44 |

| 137.1(7) | 41 | 44 |

| 137.1(8) | 41 | 44 |

| 137.1(9) | 41 | 44 |

| 137.1(10) | 41 | 44 |

| 137.1(10.1) | 41 | 44 |

| 137.1(11) | 41 | 44 |

| 137.1(12) | 41 | 44 |

| 137.2 | 41 | 44 |

| 138(1) | 41 | 44 |

| 138(2) | 41 | 44 |

| 138(3) | 41 | 44 |

| 138(3.1) | 41 | 44 |

| 138(4) | 41 | 44 |

| 138(4.01) | 41 | 44 |

| 138(4.1) | 41 | 44 |

| 138(4.2) | 41 | 44 |

| 138(4.3) | 41 | 44 |

| 138(4.4) | 41 | 44 |

| 138(4.5) | 41 | 44 |

| 138(4.6) | 41 | 44 |

| 138(5) | 41 | 44 |

| 138(5.1) | 41 | 44 |

| 138(5.2) | 41 | 44 |

| 138(6) | 41 | 44 |

| 138(8) | 41 | 44 |

| 138(9) | 41 | 44 |

| 138(10) | 41 | 44 |

| 138(11) | 41 | 44 |

| 138(11.1) | 41 | 44 |

| 138(11.2) | 41 | 44 |

| 138(11.3) | 41 | 44 |

| 138(11.31) | 41 | 44 |

| 138(11.4) | 41 | 44 |

| 138(11.41) | 41 | 44 |

| 138(11.5) | 41 | 44 |

| 138(11.6) | 41 | 44 |

| 138(11.7) | 41 | 44 |

| 138(11.8) | 41 | 44 |

| 138(11.9) | 41 | 44 |

| 138(11.91) | 41 | 44 |

| 138(11.92) | 41 | 44 |

| 138(11.93) | 41 | 44 |

| 138(11.94) | 41 | 44 |

| 138(12) | 41 | 44 |

| 138(13) | 41 | 44 |

| 138(14) | 41 | 44 |

| 138(15) | 41 | 44 |

| 138.1(1) | 41 | 44 |

| 138.1(2) | 41 | 44 |

| 138.1(3) | 41 | 44 |

| 138.1(3.1) | 41 | 44 |

| 138.1(3.2) | 41 | 44 |

| 138.1(4) | 41 | 44 |

| 138.1(5) | 41 | 44 |

| 138.1(6) | 41 | 44 |

| 138.1(7) | 41 | 44 |

| 139 | 41 | 44 |

| 139.1(1) | 41 | 44 |

| 139.1(2) | 41 | 44 |

| 139.1(3) | 41 | 44 |

| 139.1(4) | 41 | 44 |

| 139.1(5) | 41 | 44 |

| 139.1(6) | 41 | 44 |

| 138.1(7) | 41 | 44 |

| 139.1(8) | 41 | 44 |

| 139.1(9) | 41 | 44 |

| 139.1(10) | 41 | 44 |

| 139.1(11) | 41 | 44 |

| 139.1(12) | 41 | 44 |

| 139.1(13) | 41 | 44 |

| 139.1(14) | 41 | 44 |

| 139.1(15) | 41 | 44 |

| 139.1(16) | 41 | 44 |

| 139.1(17) | 41 | 44 |

| 139.1(18) | 41 | 44 |

| 139.2 | 41 | 44 |

[ [Income Tax  Technical News No. 29](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-technical-news-no-29.html) ] [ [Table of Contents](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-26.html) ] [ [Next](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-14.html) ]
