Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-6.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-6.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 7

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 60(a) | 41 | 44 |

| 60(b) | 24 | 22 |

| 60(c.2) | 24 | 22 |

| 60(d) | 24 | 22 |

| 60(i) | 43 | 44 |

| 60(j) | 43 | 44 |

| 60(j.01) | 43 | 44 |

| 60(j.02) | 43 | 44 |

| 60(j.03) | 43 | 44 |

| 60(j.04) | 43 | 44 |

| 60(j.1) | 43 | 44 |

| 60(j.2) | 43 | 44 |

| 60(l) | 43 | 44 |

| 60(m) | 24 | 22 |

| 60(m.1) | 24 | 22 |

| 60(n) | 43 | 44 |

| 60(o) | 24 | 22 |

| 60(o.1) | 24 | 22 |

| 60(q) | 24 | 22 |

| 60(r) | 43 | 44 |

| 60(s) | 41 | 44 |

| 60(t) | 43 | 44 |

| 60(u) | 43 | 44 |

| 60(v) | 43 | 44 |

| 60(v.1) | 24 | 22 |

| 60(w) | 24 | 22 |

| 60(x) | 43 | 44 |

| 60.001 | 24 | 22 |

| 60.01 | 43 | 44 |

| 60.02 | 43 | 44 |

| 60.1(1) | 24 | 22 |

| 60.1(2) | 24 | 22 |

| 60.1(3) | 24 | 22 |

| 60.1(4) | 24 | 22 |

| 60.11 | 24 | 22 |

| 60.2(1) | 43 | 44 |

| 60.2(2) | 43 | 44 |

| 61(1) | 41 | 44 |

| 61(2) | 41 | 44 |

| 61(4) | 41 | 44 |

| 61.1(1) | 41 | 44 |

| 61.1(2) | 41 | 44 |

| 61.2 | 42 | 44 |

| 61.3(1) | 42 | 44 |

| 61.3(2) | 42 | 44 |

| 61.3(3) | 42 | 44 |

| 61.4 | 42 | 44 |

| 62(1) | 24 | 22 |

| 62(2) | 24 | 22 |

| 62(3) | 24 | 22 |

| 63(1) | 24 | 22 |

| 63(2) | 24 | 22 |

| 63(2.1) | 24 | 22 |

| 63(2.2) | 24 | 22 |

| 63(2.3) | 24 | 22 |

| 63(3) | 24 | 22 |

| 63(4) | 24 | 22 |

| 64 | 23 | 22 |

| 64.1 | 24 | 22 |

| 65(1) | 13 | 14 |

| 65(2) | 13 | 14 |

| 65(3) | 13 | 14 |

| 66(1) | 13 | 14 |

| 66(2) | 13 | 14 |

| 66(3) | 13 | 14 |

| 66(4) | 13 | 14 |

