Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-6.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-6.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 7

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |
| 66(4.1) | 13 | 14 |

| 66(4.2) | 13 | 14 |

| 66(4.3) | 13 | 14 |

| 66(5) | 13 | 14 |

| 66(10.4) | 13 | 14 |

| 66(11) | 13 | 14 |

| 66(11.3) | 13 | 14 |

| 66(11.4) | 13 | 14 |

| 66(11.5) | 13 | 14 |

| 66(12) | 13 | 14 |

| 66(12.1) | 13 | 14 |

| 66(12.2) | 13 | 14 |

| 66(12.3) | 13 | 14 |

| 66(12.4) | 13 | 14 |

| 66(12.41) | 13 | 14 |

| 66(12.42) | 13 | 14 |

| 66(12.5) | 13 | 14 |

| 66(12.6) | 13 | 14 |

| 66(12.601) | 13 | 14 |

| 66(12.6011) | 13 | 14 |

| 66(12.6012) | 13 | 14 |

| 66(12.6013) | 13 | 14 |

| 66(12.602) | 13 | 14 |

| 66(12.61) | 13 | 14 |

| 66(12.62) | 13 | 14 |

| 66(12.63) | 13 | 14 |

| 66(12.66) | 13 | 14 |

| 66(12.67) | 13 | 14 |

| 66(12.671) | 13 | 14 |

| 66(12.68) | 13 | 14 |

| 66(12.69) | 13 | 14 |

| 66(12.6901) | 13 | 14 |

| 66(12.691) | 13 | 14 |

| 66(12.7) | 13 | 14 |

| 66(12.70001) | 13 | 14 |

| 66(12.701) | 13 | 14 |

| 66(12.702) | 13 | 14 |

| 66(12.71) | 13 | 14 |

| 66(12.72) | 13 | 14 |

| 66(12.73) | 13 | 14 |

| 66(12.74) | 13 | 14 |

| 66(12.741) | 13 | 14 |

| 66(12.75) | 13 | 14 |

| 66(13) | 13 | 14 |

| 66(13.1) | 13 | 14 |

| 66(14) | 13 | 14 |

| 66(14.1) | 13 | 14 |

| 66(14.2) | 13 | 14 |

| 66(14.3) | 13 | 14 |

| 66(14.4) | 13 | 14 |

| 66(14.5) | 13 | 14 |

| 66(14.6) | 13 | 14 |

| 66(15) | 13 | 14 |

| 66(15.1) | 13 | 14 |

| 66(16) | 13 | 14 |

| 66(17) | 13 | 14 |

| 66(18) | 13 | 14 |

| 66(19) | 13 | 14 |

| 66(20) | 13 | 14 |

| 66.1(1) | 13 | 14 |

| 66.1(2) | 13 | 14 |

| 66.1(3) | 13 | 14 |

| 66.1(6) | 13 | 14 |

| 66.1(6.1) | 13 | 14 |

| 66.1(7) | 13 | 14 |

| 66.1(9) | 13 | 14 |

| 66.1(10) | 13 | 14 |

| 66.2(1) | 13 | 14 |

| 66.2(2) | 13 | 14 |

| 66.2(5) | 13 | 14 |

| 66.2(5.1) | 13 | 14 |

| 66.2(6) | 13 | 14 |

| 66.2(7) | 13 | 14 |

| 66.2(8) | 13 | 14 |

| 66.21 | 13 | 14 |

| 66.21(1) | 13 | 14 |

| 66.21(2) | 13 | 14 |

| 66.21(3) | 13 | 14 |

| 66.21(4) | 13 | 14 |

| 66.21(5) | 13 | 14 |

| 66.3(1) | 13 | 14 |

| 66.3(2) | 13 | 14 |

| 66.3(3) | 13 | 14 |

| 66.3(4) | 13 | 14 |

| 66.4(1) | 13 | 14 |

| 66.4(2) | 13 | 14 |

| 66.4(5) | 13 | 14 |

| 66.4(5.1) | 13 | 14 |

| 66.4(6) | 13 | 14 |

| 66.4(7) | 13 | 14 |

| 66.5(1) | 13 | 14 |

| 66.5(2) | 13 | 14 |

| 66.5(3) | 13 | 14 |

| 66.6 | 13 | 14 |

| 66.6(1) | 13 | 14 |

| 66.6(2) | 13 | 14 |

| 66.7(1) | 13 | 14 |

| 66.7(2) | 13 | 14 |

| 66.7(2.1) | 13 | 14 |

| 66.7(2.2) | 13 | 14 |

| 66.7(2.3) | 13 | 14 |

| 66.7(3) | 13 | 14 |

| 66.7(4) | 13 | 14 |

| 66.7(5) | 13 | 14 |

| 66.7(6) | 13 | 14 |

| 66.7(7) | 13 | 14 |

| 66.7(8) | 13 | 14 |

| 66.7(9) | 13 | 14 |

| 66.7(10) | 13 | 14 |

| 66.7(11) | 13 | 14 |

| 66.7(12) | 13 | 14 |

| 66.7(12.1) | 13 | 14 |

| 66.7(13) | 13 | 14 |

| 66.7(14) | 13 | 14 |

| 66.7(15) | 13 | 14 |

| 66.7(16) | 13 | 14 |

| 66.7(17) | 13 | 14 |

| 66.7(18) | 13 | 14 |

| 66.8(1) | 13 | 14 |

| 66.8(2) | 13 | 14 |

| 66.8(3) | 13 | 14 |

| 67 | 25 | 22 |

| 67.1(1) | 25 | 22 |

| 67.1(2) | 25 | 22 |

| 67.1(3) | 25 | 22 |

| 67.1(4) | 25 | 22 |

| 67.2 | 25 | 22 |

| 67.3 | 25 | 22 |

| 67.4 | 25 | 22 |

| 67.5(1) | 25 | 22 |

| 67.5(2) | 25 | 22 |

| 68 | 24 | 22 |

| 69(1) | 24 | 22 |

| 69(1.1) | 35 | 32 |

| 69(1.2) | 24 | 22 |

| 69(2) | 33 | 32 |

| 69(3) | 33 | 32 |

| 69(4) | 12 | 14 |

| 69(5) | 12 | 14 |

| 69(6) | 13 | 14 |

| 69(7) | 13 | 14 |

| 69(8) | 13 | 14 |

| 69(9) | 13 | 14 |

| 69(10) | 13 | 14 |

| 69(11) | 12 | 14 |

| 69(12) | 12 | 14 |

| 69(12.1) | 12 | 14 |

| 69(12.2) | 12 | 14 |

| 69(13) | 15 | 14 |

| 69(14) | 15 | 14 |

[ [Income Tax  Technical News No. 29](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-technical-news-no-29.html) ] [ [Table of Contents](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-26.html) ] [ [Next](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-7.html) ]
