Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-11.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-11.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 12

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 110(1) | 24 | 22 |

| 110(1)(d) | 43 | 44 |

| 110(1)(d.1) | 43 | 44 |

| 110(1)(d.01) | 41 | 44 |

| 110(1)(d.2) | 13 | 14 |

| 110(1)(d.3) | 43 | 44 |

| 110(1)(f) | 25 | 22 |

| 110(1)(g) | 25 | 22 |

| 110(1)(j) | 25 | 22 |

| 110(1)(k) | 42 | 44 |

| 110(1.4) | 25 | 22 |

| 110(1.5) | 43 | 44 |

| 110(1.6) | 43 | 44 |

| 110(1.7) | 43 | 44 |

| 110(2) | 41 | 44 |

| 110(2.1) | 41 | 44 |

| 110.1(1) | 41 | 44 |

| 110.1(1)(a) | 41 | 44 |

| 110.1(1)(b) | 41 | 44 |

| 110.1(1)(c) | 41 | 44 |

| 110.1(1)(d) | 41 | 44 |

| 110.1(1.1) | 41 | 44 |

| 110.1(2) | 41 | 44 |

| 110.1(3) | 41 | 44 |

| 110.1(4) | 41 | 44 |

| 110.1(5) | 41 | 44 |

| 110.1(6) | 41 | 44 |

| 110.1(7) | 41 | 44 |

| 110.2(1) | 25 | 22 |

| 110.2(2) | 25 | 22 |

| 110.4(1) | 24 | 22 |

| 110.4(2) | 24 | 22 |

| 110.4(4) | 24 | 22 |

| 110.4(5) | 24 | 22 |

| 110.4(6.1) | 24 | 22 |

| 110.4(8) | 24 | 22 |

| 110.5 | 31 | 32 |

| 110.6 | 24 | 22 |

| 110.6(1) | 24 | 22 |

| 110.6(1.1) | 24 | 22 |

| 110.6(2) | 24 | 22 |

| 110.6(2.1) | 24 | 22 |

| 110.6(3) | 24 | 22 |

| 110.6(4) | 24 | 22 |

| 110.6(5) | 24 | 22 |

| 110.6(6) | 24 | 22 |

| 110.6(7) | 24 | 22 |

| 110.6(8) | 24 | 22 |

| 110.6(9) | 24 | 22 |

| 110.6(11) | 24 | 22 |

| 110.6(12) | 35 | 32 |

| 110.6(13) | 24 | 22 |

| 110.6(14) | 24 | 22 |

| 110.6(15) | 24 | 22 |

| 110.6(16) | 35 | 32 |

| 110.6(17) | 24 | 22 |

| 110.6(18) | 24 | 22 |

| 110.6(19) | 24 | 22 |

| 110.6(20) | 24 | 22 |

| 110.6(21) | 24 | 22 |

