Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-11.html
Corpus path: corpus/cra/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-11.md
Document type: publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 12

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |
| 110.6(22) | 24 | 22 |

| 110.6(23) | 23 | 22 |

| 110.6(24) | 24 | 22 |

| 110.6(25) | 24 | 22 |

| 110.6(26) | 24 | 22 |

| 110.6(27) | 24 | 22 |

| 110.6(28) | 24 | 22 |

| 110.6(29) | 24 | 22 |

| 110.6(30) | 24 | 22 |

| 110.7(1) | 24 | 22 |

| 110.7(2) | 24 | 22 |

| 110.7(3) | 24 | 22 |

| 110.7(4) | 24 | 22 |

| 110.7(5) | 24 | 22 |

| 111(1) | 15 | 14 |

| 111(1)(a) | 15 | 14 |

| 111(1)(b) | 15 | 14 |

| 111(1)(c) | 25 | 22 |

| 111(1)(d) | 25 | 22 |

| 111(1)(e) | 23 | 22 |

| 111(1.1) | 15 | 14 |

| 111(2) | 15 | 14 |

| 111(3) | 15 | 14 |

| 111(4) | 15 | 14 |

| 111(5) | 15 | 14 |

| 111(5.1) | 15 | 14 |

| 111(5.2) | 15 | 14 |

| 111(5.3) | 15 | 14 |

| 111(5.4) | 15 | 14 |

| 111(5.5) | 15 | 14 |

| 111(6) | 15 | 14 |

| 111(7) | 25 | 22 |

| 111(7.1) | 41 | 44 |

| 111(7.11) | 41 | 44 |

| 111(7.2) | 41 | 44 |

| 111(8) | 15 | 14 |

| 111(9) | 31 | 32 |

| 111(10) | 15 | 14 |

| 111(11) | 23 | 22 |

| 111.1 | 25 | 22 |

| 112(1) | 12 | 14 |

| 112(2) | 31 | 32 |

| 112(2.1) | 41 | 44 |

| 112(2.2) | 42 | 44 |

| 112(2.2) | 42 | 44 |

| 112(2.21) | 42 | 44 |

| 112(2.22) | 42 | 44 |

| 112(2.3) | 42 | 44 |

| 112(2.4) | 42 | 44 |

| 112(2.5) | 42 | 44 |

| 112(2.6) | 42 | 44 |

| 112(2.7) | 42 | 44 |

| 112(2.8) | 42 | 44 |

| 112(2.9) | 42 | 44 |

| 112(3) | 12 | 14 |

| 112(3.01) | 12 | 14 |

| 112(3.1) | 23 | 22 |

| 112(3.11) | 23 | 22 |

| 112(3.12) | 23 | 22 |

| 112(3.2) | 35 | 32 |

| 112(3.3) | 35 | 32 |

| 112(3.31) | 35 | 32 |

| 112(3.32) | 35 | 32 |

| 112(4) | 12 | 14 |

| 112(4.01) | 12 | 14 |

| 112(4.1) | 12 | 14 |

| 112(4.11) | 12 | 14 |

| 112(4.2) | 35 | 32 |

| 112(4.21) | 35 | 32 |

| 112(4.22) | 35 | 32 |

| 112(4.3) | 35 | 32 |

| 112(5) | 41 | 44 |

| 112(5.1) | 41 | 44 |

| 112(5.2) | 41 | 44 |

| 112(5.21) | 41 | 44 |

| 112(5.3) | 41 | 44 |

| 112(5.4) | 41 | 44 |

| 112(5.5) | 41 | 44 |

| 112(5.6) | 41 | 44 |

| 112(6) | 12 | 14 |

| 112(7) | 12 | 14 |

| 113(1) | 33 | 32 |

| 113(2) | 33 | 32 |

| 113(3) | 33 | 32 |

| 113(4) | 33 | 32 |

| 114 | 31 | 32 |

| 114.1 | 31 | 32 |

| 114.2 | 31 | 32 |

| 115(1) | 33 | 32 |

| 115(2) | 33 | 32 |

| 115(3) | 33 | 32 |

| 115(4) | 33 | 32 |

| 115(4.1) | 33 | 32 |

| 115(5) | 33 | 32 |

| 115(6) | 33 | 32 |

| 115.1(1) | 33 | 32 |

| 115.1(2) | 33 | 32 |

| 115.2 | 33 | 32 |

| 115.2(1) | 33 | 32 |

| 115.2(2) | 33 | 32 |

| 116(1) | 33 | 32 |

| 116(2) | 33 | 32 |

| 116(3) | 33 | 32 |

| 116(4) | 33 | 32 |

| 116(5) | 33 | 32 |

| 116(5.1) | 41 | 44 |

| 116(5.2) | 33 | 32 |

| 116(5.3) | 33 | 32 |

| 116(5.4) | 41 | 44 |

| 116(6) | 33 | 32 |

| 116(7) | 41 | 44 |

| 117(1) | 24 | 22 |

| 117(2) | 24 | 22 |

| 117(3) | 24 | 22 |

| 117(6) | 24 | 22 |

| 117.1(1) | 24 | 22 |

| 117.1(2) | 24 | 22 |

| 117.1(3) | 24 | 22 |

| 117.1(4) | 24 | 22 |

| 118(1) | 25 | 22 |

| 118(1)(a) | 25 | 22 |

| 118(1)(b) | 25 | 22 |

| 118(1)(b.1) | 25 | 22 |

| 118(1)(c) | 25 | 22 |

| 118(1)(c.1) | 25 | 22 |

| 118(1)(d) | 25 | 22 |

| 118(1)(e) | 25 | 22 |

| 118(2) | 25 | 22 |

| 118(3) | 25 | 22 |

| 118(3.1) | 25 | 22 |

| 118(4) | 25 | 22 |

| 118(5) | 24 | 22 |

| 118(6) | 25 | 22 |

| 118(7) | 25 | 22 |

| 118(8) | 25 | 22 |

| 118.1 | 41 | 44 |

| 118.1(1) | 41 | 44 |

| 118.1(2) | 41 | 44 |

| 118.1(2.1) | 41 | 44 |

| 118.1(3) | 41 | 44 |

| 118.1(4) | 41 | 44 |

| 118.1(5) | 41 | 44 |

| 118.1(5.1) | 41 | 44 |

| 118.1(5.2) | 41 | 44 |

| 118.1(5.3) | 43 | 44 |

| 118.1(6) | 41 | 44 |

| 118.1(7) | 41 | 44 |

| 118.1(7.1) | 41 | 44 |

| 118.1(8) | 41 | 44 |

| 118.1(9) | 41 | 44 |

| 118.1(10) | 41 | 44 |

| 118.1(10.1) | 41 | 44 |

| 118.1(10.2) | 41 | 44 |

| 118.1(10.3) | 41 | 44 |

| 118.1(10.4) | 41 | 44 |

| 118.1(10.5) | 41 | 44 |

| 118.1(11) | 41 | 44 |

| 118.1(12) | 41 | 44 |

| 118.1(13) | 41 | 44 |

| 118.1(14) | 41 | 44 |

| 118.1(15) | 41 | 44 |

| 118.1(16) | 41 | 44 |

| 118.1(17) | 41 | 44 |

| 118.1(18) | 41 | 44 |

| 118.1(19) | 41 | 44 |

| 118.1(20) | 41 | 44 |

| 118.2(1) | 23 | 22 |

| 118.2(2) | 23 | 22 |

| 118.2(3) | 23 | 22 |

| 118.2(4) | 23 | 22 |

| 118.3(1) | 23 | 22 |

| 118.3(2) | 23 | 22 |

| 118.3(3) | 23 | 22 |

| 118.3(4) | 23 | 22 |

| 118.4(1) | 23 | 22 |

| 118.4(2) | 23 | 22 |

| 118.5(1) | 45 | 44 |

| 118.5(2) | 45 | 44 |

| 118.5(3) | 45 | 44 |

| 118.6 | 45 | 44 |

| 118.6(1) | 45 | 44 |

| 118.6(2) | 45 | 44 |

| 118.6(3) | 45 | 44 |

| 118.61(1) | 45 | 44 |

| 118.61(2) | 45 | 44 |

| 118.62 | 45 | 44 |

| 118.7 | 25 | 22 |

| 118.8 | 25 | 22 |

| 118.81 | 45 | 44 |

| 118.9 | 45 | 44 |

| 118.9(1) | 45 | 44 |

| 118.9(2) | 45 | 44 |

| 118.91 | 31 | 32 |

| 118.92 | 25 | 22 |

| 118.93 | 25 | 22 |

| 118.94 | 31 | 32 |

| 118.95 | 24 | 22 |

| 119 | 31 | 32 |

| 119(1) | 25 | 22 |

| 119(2) | 25 | 22 |

| 119(3) | 25 | 22 |

| 119(4) | 25 | 22 |

| 119(5) | 25 | 22 |

| 119(6) | 25 | 22 |

| 119(7) | 25 | 22 |

| 119(8) | 25 | 22 |

| 119(9) | 25 | 22 |

| 119(10) | 25 | 22 |

[ [Income Tax  Technical News No. 29](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-technical-news-no-29.html) ] [ [Table of Contents](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-26.html) ] [ [Next](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-12.html) ]
