Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-8.html
Corpus path: corpus/cra/tax/technical-information/income-tax/current-publications/technical-news/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-8.md
Document type: technical_publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 9

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |
| 84.1(3) | 12 | 14 |

| 84.2(1) | 12 | 14 |

| 84.2(2) | 12 | 14 |

| 84.2(3) | 12 | 14 |

| 85(1) | 12 | 14 |

| 85(1.1) | 12 | 14 |

| 85(1.2) | 12 | 14 |

| 85(1.3) | 12 | 14 |

| 85(1.4) | 12 | 14 |

| 85(2) | 23 | 22 |

| 85(2.1) | 12 | 14 |

| 85(3) | 23 | 22 |

| 85(5) | 12 | 14 |

| 85(6) | 12 | 14 |

| 85(7) | 12 | 14 |

| 85(7.1) | 12 | 14 |

| 85(8) | 12 | 14 |

| 85(9) | 12 | 14 |

| 85.1(1) | 12 | 14 |

| 85.1(2) | 12 | 14 |

| 85.1(2.1) | 12 | 14 |

| 85.1(3) | 33 | 32 |

| 85.1(4) | 33 | 32 |

| 85.1(5) | 33 | 32 |

| 85.1(6) | 33 | 32 |

| 86(1) | 12 | 14 |

| 86(2) | 12 | 14 |

| 86(2.1) | 12 | 14 |

| 86(3) | 12 | 14 |

| 86(4) | 12 | 14 |

| 86.1 | 31 | 32 |

| 86.1(1) | 31 | 32 |

| 86.1(2) | 31 | 32 |

| 86.1(3) | 31 | 32 |

| 86.1(4) | 31 | 32 |

| 86.1(5) | 31 | 32 |

| 87(1) | 12 | 14 |

| 87(1.1) | 12 | 14 |

| 87(1.2) | 12 | 14 |

| 87(1.4) | 12 | 14 |

| 87(1.5) | 41 | 44 |

| 87(2) | 12 | 14 |

| 87(2)(a) | 12 | 14 |

| 87(2)(b) | 12 | 14 |

| 87(2)(c) | 12 | 14 |

| 87(2)(d) | 12 | 14 |

| 87(2)(d.1) | 12 | 14 |

| 87(2)(e) | 12 | 14 |

| 87(2)(e.1) | 12 | 14 |

| 87(2)(e.2) | 41 | 44 |

| 87(2)(e.3) | 41 | 44 |

| 87(2)(e.4) | 41 | 44 |

| 87(2)(e.5) | 41 | 44 |

| 87(2)(f) | 12 | 14 |

| 87(2)(g) | 12 | 14 |

| 87(2)(g.1) | 41 | 44 |

| 87(2)(g.2) | 41 | 44 |

| 87(2)(g.3) | 12 | 14 |

| 87(2)(g.4) | 12 | 14 |

| 87(2)(h) | 41 | 44 |

| 87(2)(h.1) | 42 | 44 |

| 87(2)(i) | 12 | 14 |

| 87(2)(j) | 12 | 14 |

| 87(2)(j.1) | 12 | 14 |

| 87(2)(j.2) | 12 | 14 |

| 87(2)(j.3) | 43 | 44 |

| 87(2)(j.4) | 41 | 44 |

| 87(2)(j.5) | 12 | 14 |

| 87(2)(j.6) | 12 | 14 |

| 87(2)(j.7) | 12 | 14 |

| 87(2)(j.8) | 41 | 44 |

| 87(2)(j.9) | 41 | 44 |

| 87(2)(j.91) | 41 | 44 |

| 87(2)(j.92) | 12 | 14 |

| 87(2)(j.93) | 13 | 14 |

| 87(2)(j.94) | 24 | 22 |

| 87(2)(j.95) | 33 | 32 |

| 87(2)(k) | 12 | 14 |

| 87(2)(l) | 23 | 32 |

| 87(2)(l.1) | 12 | 14 |

| 87(2)(l.2) | 12 | 14 |

| 87(2)(1.21) | 42 | 44 |

| 87(2)(l.3) | 12 | 14 |

| 87(2)(m) | 12 | 14 |

| 87(2)(m.1) | 41 | 44 |

| 87(2)(n) | 12 | 14 |

| 87(2)(o) | 12 | 14 |

| 87(2)(p) | 31 | 22 |

| 87(2)(q) | 43 | 44 |

| 87(2)(t) | 12 | 14 |

| 87(2)(u) | 33 | 32 |

| 87(2)(v) | 41 | 44 |

| 87(2)(x) | 12 | 14 |

| 87(2)(y) | 12 | 14 |

| 87(2)(z) | 33 | 32 |

| 87(2)(z.1) | 12 | 14 |

| 87(2)(z.2) | 12 | 14 |

| 87(2)(aa) | 12 | 14 |

| 87(2)(bb) | 41 | 44 |

| 87(2)(bb.1) | 41 | 44 |

| 87(2)(cc) | 33 | 32 |

| 87(2)(ii) | 12 | 14 |

| 87(2)(jj) | 12 | 14 |

| 87(2)(kk) | 12 | 14 |

| 87(2)(ll) | 12 | 14 |

| 87(2)(mm) | 12 | 14 |

| 87(2)(nn) | 12 | 14 |

| 87(2)(oo) | 23 | 22 |

| 87(2)oo.1) | 23 | 22 |

| 87(2)(pp) | 13 | 14 |

| 87(2)(qq) | 12 | 14 |

| 87(2)(rr) | 12 | 14 |

| 87(2)(ss) | 12 | 14 |

| 87(2)(tt) | 12 | 14 |

| 87(2)(uu) | 12 | 14 |

| 87(2.01) | 23 | 22 |

| 87(2.1) | 12 | 14 |

| 87(2.11) | 12 | 14 |

| 87(2.2) | 41 | 44 |

| 87(3) | 12 | 14 |

| 87(3.1) | 12 | 14 |

| 87(4) | 12 | 14 |

| 87(4.1) | 12 | 14 |

| 87(4.2) | 12 | 14 |

| 87(4.3) | 12 | 14 |

| 87(4.4) | 13 | 14 |

| 87(5) | 12 | 14 |

| 87(5.1) | 12 | 14 |

| 87(6) | 12 | 14 |

| 87(6.1) | 12 | 14 |

| 87(7) | 12 | 14 |

| 87(8) | 33 | 32 |

| 87(8.1) | 33 | 32 |

| 87(9) | 12 | 14 |

| 87(10) | 12 | 14 |

